id,file,n_rows,n_meta_cols,n_time,t_start,t_end,monthly,uzb,kaz,kgz,tjk,tkm,n_unique_entities,first_entity,error
2684,sdmx_data_2684.csv,15,5,9,2016,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
2685,sdmx_data_2685.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2686,sdmx_data_2686.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2687,sdmx_data_2687.csv,15,5,9,2016,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
2688,sdmx_data_2688.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2689,sdmx_data_2689.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2690,sdmx_data_2690.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2691,sdmx_data_2691.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2692,sdmx_data_2692.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2693,sdmx_data_2693.csv,15,5,17,2010,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
2695,sdmx_data_2695.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
2696,sdmx_data_2696.csv,15,5,75,2020-M01,2026-M03,True,1,0,0,0,0,15,Republic of Uzbekistan,
2699,sdmx_data_2699.csv,15,5,75,2020-M01,2026-M03,True,1,0,0,0,0,15,Republic of Uzbekistan,
2700,sdmx_data_2700.csv,15,5,75,2020-M01,2026-M03,True,1,0,0,0,0,15,Republic of Uzbekistan,
2704,sdmx_data_2704.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2705,sdmx_data_2705.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
274,sdmx_data_274.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
275,sdmx_data_275.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
276,sdmx_data_276.csv,15,5,17,2010,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
279,sdmx_data_279.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
280,sdmx_data_280.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
