"Public Investments (2022 Million USD) by Country/area, Technology and Year"

"Country/area","Technology","Year",Public Investments (2022 Million USD)
"Uzbekistan","Biogas","2016",-
"Uzbekistan","Biogas","2017",-
"Uzbekistan","Biogas","2018",-
"Uzbekistan","Biogas","2019",-
"Uzbekistan","Biogas","2020",-
"Uzbekistan","Biogas","2021",-
"Uzbekistan","Biogas","2022",-
"Uzbekistan","Biogas","2023",-
"Uzbekistan","Geothermal energy","2000",-
"Uzbekistan","Geothermal energy","2001",-
"Uzbekistan","Geothermal energy","2002",-
"Uzbekistan","Geothermal energy","2003",-
"Uzbekistan","Geothermal energy","2004",-
"Uzbekistan","Geothermal energy","2005",-
"Uzbekistan","Geothermal energy","2006",-
"Uzbekistan","Geothermal energy","2007",-
"Uzbekistan","Geothermal energy","2008",-
"Uzbekistan","Geothermal energy","2009",-
"Uzbekistan","Geothermal energy","2010",-
"Uzbekistan","Geothermal energy","2011",-
"Uzbekistan","Geothermal energy","2012",-
"Uzbekistan","Geothermal energy","2013",-
"Uzbekistan","Geothermal energy","2014",-
"Uzbekistan","Geothermal energy","2015",-
"Uzbekistan","Geothermal energy","2016",-
"Uzbekistan","Geothermal energy","2017",-
"Uzbekistan","Geothermal energy","2018",-
"Uzbekistan","Geothermal energy","2019",-
"Uzbekistan","Geothermal energy","2020",-
"Uzbekistan","Geothermal energy","2021",-
"Uzbekistan","Geothermal energy","2022",-
"Uzbekistan","Geothermal energy","2023",-
"Uzbekistan","Multiple renewables","2000",-
"Uzbekistan","Multiple renewables","2001",-
"Uzbekistan","Multiple renewables","2002",-
"Uzbekistan","Multiple renewables","2003",-
"Uzbekistan","Multiple renewables","2004",-
"Uzbekistan","Multiple renewables","2005",-
"Uzbekistan","Multiple renewables","2006",-
"Uzbekistan","Multiple renewables","2007",-
"Uzbekistan","Multiple renewables","2008",-
"Uzbekistan","Multiple renewables","2009",-
"Uzbekistan","Multiple renewables","2010",-
"Uzbekistan","Multiple renewables","2011",-
"Uzbekistan","Multiple renewables","2012",-
"Uzbekistan","Multiple renewables","2013",-
"Uzbekistan","Multiple renewables","2014",-
"Uzbekistan","Multiple renewables","2015",0.10
"Uzbekistan","Multiple renewables","2016",0.17
"Uzbekistan","Multiple renewables","2017",0.16
"Uzbekistan","Multiple renewables","2018",0.95
"Uzbekistan","Multiple renewables","2019",-
"Uzbekistan","Multiple renewables","2020",57.25
"Uzbekistan","Multiple renewables","2021",23.67
"Uzbekistan","Multiple renewables","2022",47.13
"Uzbekistan","Multiple renewables","2023",0.03
"Uzbekistan","Coal and peat","2000",-
"Uzbekistan","Coal and peat","2001",-
"Uzbekistan","Coal and peat","2002",-
"Uzbekistan","Coal and peat","2003",-
"Uzbekistan","Coal and peat","2004",-
"Uzbekistan","Coal and peat","2005",-
"Uzbekistan","Coal and peat","2006",-
"Uzbekistan","Coal and peat","2007",-
"Uzbekistan","Coal and peat","2008",-
"Uzbekistan","Coal and peat","2009",-
"Uzbekistan","Coal and peat","2010",-
"Uzbekistan","Coal and peat","2011",-
"Uzbekistan","Coal and peat","2012",382.89
"Uzbekistan","Coal and peat","2013",-
"Uzbekistan","Coal and peat","2014",-
"Uzbekistan","Coal and peat","2015",-
"Uzbekistan","Coal and peat","2016",-
"Uzbekistan","Coal and peat","2017",-
"Uzbekistan","Coal and peat","2018",91.37
"Uzbekistan","Coal and peat","2019",-
"Uzbekistan","Coal and peat","2020",-
"Uzbekistan","Coal and peat","2021",-
"Uzbekistan","Coal and peat","2022",-
"Uzbekistan","Coal and peat","2023",-
"Uzbekistan","Oil","2000",-
"Uzbekistan","Oil","2001",-
"Uzbekistan","Oil","2002",-
"Uzbekistan","Oil","2003",-
"Uzbekistan","Oil","2004",-
"Uzbekistan","Oil","2005",-
"Uzbekistan","Oil","2006",-
"Uzbekistan","Oil","2007",-
"Uzbekistan","Oil","2008",-
"Uzbekistan","Oil","2009",-
"Uzbekistan","Oil","2010",-
"Uzbekistan","Oil","2011",-
"Uzbekistan","Oil","2012",-
"Uzbekistan","Oil","2013",-
"Uzbekistan","Oil","2014",-
"Uzbekistan","Oil","2015",-
"Uzbekistan","Oil","2016",-
"Uzbekistan","Oil","2017",-
"Uzbekistan","Oil","2018",-
"Uzbekistan","Oil","2019",-
"Uzbekistan","Oil","2020",-
"Uzbekistan","Oil","2021",-
"Uzbekistan","Oil","2022",-
"Uzbekistan","Oil","2023",-
"Uzbekistan","Natural gas","2000",-
"Uzbekistan","Natural gas","2001",-
"Uzbekistan","Natural gas","2002",178.94
"Uzbekistan","Natural gas","2003",-
"Uzbekistan","Natural gas","2004",-
"Uzbekistan","Natural gas","2005",-
"Uzbekistan","Natural gas","2006",-
"Uzbekistan","Natural gas","2007",-
"Uzbekistan","Natural gas","2008",-
"Uzbekistan","Natural gas","2009",-
"Uzbekistan","Natural gas","2010",214.97
"Uzbekistan","Natural gas","2011",-
"Uzbekistan","Natural gas","2012",-
"Uzbekistan","Natural gas","2013",281.02
"Uzbekistan","Natural gas","2014",569.24
"Uzbekistan","Natural gas","2015",93.12
"Uzbekistan","Natural gas","2016",-
"Uzbekistan","Natural gas","2017",-
"Uzbekistan","Natural gas","2018",-
"Uzbekistan","Natural gas","2019",1521.23
"Uzbekistan","Natural gas","2020",95.80
"Uzbekistan","Natural gas","2021",307.11
"Uzbekistan","Natural gas","2022",15.52
"Uzbekistan","Natural gas","2023",392.91
"Uzbekistan","Fossil fuels n.e.s.","2000",-
"Uzbekistan","Fossil fuels n.e.s.","2001",-
"Uzbekistan","Fossil fuels n.e.s.","2002",0.35
"Uzbekistan","Fossil fuels n.e.s.","2003",-
"Uzbekistan","Fossil fuels n.e.s.","2004",0.00
"Uzbekistan","Fossil fuels n.e.s.","2005",-
"Uzbekistan","Fossil fuels n.e.s.","2006",-
"Uzbekistan","Fossil fuels n.e.s.","2007",-
"Uzbekistan","Fossil fuels n.e.s.","2008",-
"Uzbekistan","Fossil fuels n.e.s.","2009",4.20
"Uzbekistan","Fossil fuels n.e.s.","2010",-
"Uzbekistan","Fossil fuels n.e.s.","2011",-
"Uzbekistan","Fossil fuels n.e.s.","2012",-
"Uzbekistan","Fossil fuels n.e.s.","2013",-
"Uzbekistan","Fossil fuels n.e.s.","2014",118.44
"Uzbekistan","Fossil fuels n.e.s.","2015",-
"Uzbekistan","Fossil fuels n.e.s.","2016",-
"Uzbekistan","Fossil fuels n.e.s.","2017",-
"Uzbekistan","Fossil fuels n.e.s.","2018",0.81
"Uzbekistan","Fossil fuels n.e.s.","2019",-
"Uzbekistan","Fossil fuels n.e.s.","2020",0.13
"Uzbekistan","Fossil fuels n.e.s.","2021",24.25
"Uzbekistan","Fossil fuels n.e.s.","2022",151.92
"Uzbekistan","Fossil fuels n.e.s.","2023",-
"Uzbekistan","Nuclear","2000",0.29
"Uzbekistan","Nuclear","2001",1.27
"Uzbekistan","Nuclear","2002",5.47
"Uzbekistan","Nuclear","2003",-
"Uzbekistan","Nuclear","2004",8.41
