"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Other renewable energy","Heat (Commercial)","2006",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2007",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2008",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2009",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2010",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2011",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2012",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2013",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2014",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2015",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2016",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2017",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2018",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2019",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2020",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2021",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2022",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2023",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Other renewable energy","Combined Heat and Power (CHP)","2017",-
